Unique.ID,sl_micron,mean_age,Cruise,DAY,MONTH,YEAR,HAUL_ID,HAUL_NAME,capdate,hatch.date,hatch.date.noYear,hdate,measured_sl_micron,station
84,7190.0637,11,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,5/7/2013,7-May,127,6381,26
86,8158.1385,12.5,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,5/5/2013,5-May,125,7305,26
87,8772.0907,21,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,4/27/2013,27-Apr,117,7891,26
85,9523.2916,17,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,5/1/2013,1-May,121,8608,26
88,10951.3067,31.5,DY13-06,18,5,2013,DY13-06 26 1 60BON 1,1,5/18/2013,4/16/2013,16-Apr,106,9971,26
172,8603.411,17,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/27/2017,27-Apr,117,7730,28
173,8925.0549,20.5,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/23/2017,23-Apr,113,8037,28
174,8934.4842,17.67,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/26/2017,26-Apr,116,8046,28
170,9698.2575,25,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/19/2017,19-Apr,109,8775,28
171,10246.2046,30,DY17-05,14,5,2017,DY17-05 28 1 60BON 1,1,5/14/2017,4/14/2017,14-Apr,104,9298,28
155,7158.6327,14.5,4DY09,29,5,2009,4DY09 29 1 60BON 1,1,5/29/2009,5/14/2009,14-May,134,6351,29
153,7637.4316,11.67,4DY09,29,5,2009,4DY09 29 1 60BON 1,1,5/29/2009,5/17/2009,17-May,137,6808,29
156,7647.9086,8,4DY09,29,5,2009,4DY09 29 1 60BON 1,1,5/29/2009,5/21/2009,21-May,141,6818,29
154,7792.4912,17.5,4DY09,29,5,2009,4DY09 29 1 60BON 1,1,5/29/2009,5/11/2009,11-May,131,6956,29
83,4888.2668,9.5,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/9/2013,9-May,129,4184,30
80,4972.0828,9.5,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/9/2013,9-May,129,4264,30
79,5188.9567,12.5,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/6/2013,6-May,126,4471,30
81,5642.6108,11.5,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/7/2013,7-May,127,4904,30
82,5690.805,11,DY13-06,19,5,2013,DY13-06 30 2 60BON 1,2,5/19/2013,5/8/2013,8-May,128,4950,30
175,10866.443,36.33,DY17-05,14,5,2017,DY17-05 31 1 60BON 1,1,5/14/2017,4/7/2017,7-Apr,97,9890,31
178,8840.1912,25,DY17-05,14,5,2017,DY17-05 32 1 60BON 1,1,5/14/2017,4/19/2017,19-Apr,109,7956,32
