Unique.ID,dayoflife,oto_inc_micron,sl_micron,capdate,Date,hatch.date,hatch.date.noYear,hdate,YEAR,age,yr_f,doy,TempApplied,hw,cum_OR,OR_cpt,sl_mm,BC_estimate,daily_gr
100,22,1.892,12599.3388,5/30/2010,5/20/2010,4/28/2010,28-Apr,118,2010,31.5,2010,140,6.100104754,before HW,57.49,77.581,12.5993388,10.07752005,0.219915745
100,23,2.678,12599.3388,5/30/2010,5/21/2010,4/28/2010,28-Apr,118,2010,31.5,2010,141,6.163742325,before HW,60.168,77.581,12.5993388,10.41366214,0.311276091
100,24,2.992,12599.3388,5/30/2010,5/22/2010,4/28/2010,28-Apr,118,2010,31.5,2010,142,6.228689154,before HW,63.16,77.581,12.5993388,10.78921744,0.347773736
100,25,3.174,12599.3388,5/30/2010,5/23/2010,4/28/2010,28-Apr,118,2010,31.5,2010,143,6.294877594,before HW,66.334,77.581,12.5993388,11.18761736,0.368928422
100,26,2.539,12599.3388,5/30/2010,5/24/2010,4/28/2010,28-Apr,118,2010,31.5,2010,144,6.362239997,before HW,68.873,77.581,12.5993388,11.50631219,0.29511949
100,27,2.407,12599.3388,5/30/2010,5/25/2010,4/28/2010,28-Apr,118,2010,31.5,2010,145,6.430708715,before HW,71.28,77.581,12.5993388,11.8084384,0.279776532
100,28,2.259,12599.3388,5/30/2010,5/26/2010,4/28/2010,28-Apr,118,2010,31.5,2010,146,6.500216102,before HW,73.539,77.581,12.5993388,12.09198768,0.26257382
100,29,2.321,12599.3388,5/30/2010,5/27/2010,4/28/2010,28-Apr,118,2010,31.5,2010,147,6.57069451,before HW,75.86,77.581,12.5993388,12.38331919,0.269780361
100,3,1.64,12599.3388,5/30/2010,5/1/2010,4/28/2010,28-Apr,118,2010,31.5,2010,121,5.637293605,before HW,13.192,77.581,12.5993388,4.51724297,0.190624641
100,30,1.721,12599.3388,5/30/2010,5/28/2010,4/28/2010,28-Apr,118,2010,31.5,2010,148,6.642076291,before HW,77.581,77.581,12.5993388,12.5993388,0.200039639
100,4,2.168,12599.3388,5/30/2010,5/2/2010,4/28/2010,28-Apr,118,2010,31.5,2010,122,5.647314205,before HW,15.36,77.581,12.5993388,4.789369945,0.251996477
